k x dx P11 P12 P21 P22 rx rdx z 
36 0.627743 0.352410 0.067107 0.027223 0.027223 0.014741 0.648000 0.360000 -1.018792 
37 0.673497 0.366365 0.072647 0.028697 0.028697 0.015133 0.684500 0.370000 14.447316 
38 0.719282 0.379694 0.078477 0.030206 0.030206 0.015524 0.722000 0.380000 11.731091 
39 0.769505 0.394105 0.084603 0.031752 0.031752 0.015914 0.760500 0.390000 14.650734 
40 0.808298 0.403696 0.091031 0.033333 0.033333 0.016302 0.800000 0.400000 -0.418614 
41 0.842643 0.411364 0.097765 0.034949 0.034949 0.016690 0.840500 0.410000 -5.824226 
42 0.879805 0.419801 0.104813 0.036599 0.036599 0.017077 0.882000 0.420000 -3.385412 
43 0.908652 0.425148 0.112179 0.038284 0.038284 0.017462 0.924500 0.430000 -11.230471 
44 0.947179 0.433651 0.119867 0.040002 0.040002 0.017846 0.968000 0.440000 -2.792422 
45 1.007778 0.449114 0.127884 0.041753 0.041753 0.018229 1.012500 0.450000 14.076249 
46 1.053108 0.459088 0.136232 0.043537 0.043537 0.018610 1.058000 0.460000 0.994029 
47 1.100790 0.469487 0.144916 0.045352 0.045352 0.018989 1.104500 0.470000 1.977915 
48 1.144875 0.478455 0.153940 0.047198 0.047198 0.019367 1.152000 0.480000 -1.036812 
49 1.190924 0.487765 0.163307 0.049075 0.049075 0.019743 1.200500 0.490000 -0.213349 
50 1.235066 0.496252 0.173020 0.050981 0.050981 0.020117 1.250000 0.500000 -1.727385 
51 1.301405 0.510938 0.183083 0.052915 0.052915 0.020489 1.300500 0.510000 10.141056 
52 1.336795 0.516343 0.193497 0.054878 0.054878 0.020858 1.352000 0.520000 -7.021069 
53 1.385848 0.525485 0.204264 0.056867 0.056867 0.021226 1.404500 0.530000 -0.119596 
54 1.399550 0.524728 0.215385 0.058883 0.058883 0.021591 1.458000 0.540000 -16.829028 
55 1.482123 0.542677 0.226863 0.060923 0.060923 0.021954 1.512500 0.550000 14.500156 
56 1.495244 0.541688 0.238697 0.062988 0.062988 0.022314 1.568000 0.560000 -15.910703 
57 1.499567 0.538629 0.250888 0.065076 0.065076 0.022672 1.624500 0.570000 -18.517129 
58 1.560885 0.550403 0.263435 0.067185 0.067185 0.023027 1.682000 0.580000 4.194244 
59 1.623029 0.562059 0.276337 0.069316 0.069316 0.023378 1.740500 0.590000 4.005962 
60 1.672769 0.570340 0.289594 0.071466 0.071466 0.023727 1.800000 0.600000 -0.725430 
61 1.719456 0.577706 0.303204 0.073635 0.073635 0.024073 1.860500 0.610000 -1.847326 
62 1.764243 0.584482 0.317163 0.075821 0.075821 0.024415 1.922000 0.620000 -2.473475 
63 1.778523 0.583968 0.331470 0.078023 0.078023 0.024754 1.984500 0.630000 -11.652600 
64 1.820932 0.590146 0.346121 0.080240 0.080240 0.025089 2.048000 0.640000 -2.926192 
65 1.944238 0.614715 0.361112 0.082470 0.082470 0.025421 2.112500 0.650000 19.545788 
66 1.964723 0.615379 0.376439 0.084712 0.084712 0.025749 2.178000 0.660000 -9.014673 
67 1.991601 0.617580 0.392096 0.086964 0.086964 0.026073 2.244500 0.670000 -6.940393 
68 1.982962 0.612079 0.408079 0.089226 0.089226 0.026393 2.312000 0.680000 -15.319517 
69 2.014427 0.615558 0.424381 0.091496 0.091496 0.026709 2.380500 0.690000 -5.081645 
70 2.101410 0.630859 0.440994 0.093771 0.093771 0.027021 2.450000 0.700000 7.729024 
71 2.193729 0.646886 0.457913 0.096051 0.096051 0.027328 2.520500 0.710000 8.439716 
72 2.272017 0.659597 0.475130 0.098335 0.098335 0.027631 2.592000 0.720000 5.016034 
73 2.282859 0.658237 0.492635 0.100620 0.100620 0.027929 2.664500 0.730000 -8.951361 
74 2.352665 0.668939 0.510420 0.102905 0.102905 0.028223 2.738000 0.740000 3.031418 
75 2.493775 0.693612 0.528477 0.105188 0.105188 0.028512 2.812500 0.750000 16.368847 
76 2.548952 0.700726 0.546794 0.107468 0.107468 0.028796 2.888000 0.760000 -0.121973 
77 2.629803 0.712721 0.565363 0.109744 0.109744 0.029074 2.964500 0.770000 4.437625 
78 2.783024 0.738339 0.584170 0.112013 0.112013 0.029348 3.042000 0.780000 16.644283 
79 2.944437 0.764835 0.603207 0.114275 0.114275 0.029617 3.120500 0.790000 17.293310 
80 3.070635 0.784048 0.622460 0.116526 0.116526 0.029880 3.200000 0.800000 10.927806 
81 3.129805 0.790397 0.641918 0.118767 0.118767 0.030138 3.280500 0.810000 0.075242 
82 3.148607 0.789288 0.661568 0.120995 0.120995 0.030391 3.362000 0.820000 -5.971562 
83 3.169886 0.788774 0.681397 0.123209 0.123209 0.030638 3.444500 0.830000 -5.305830 
84 3.122739 0.776152 0.701392 0.125407 0.125407 0.030880 3.528000 0.840000 -14.789747 
85 3.180959 0.782634 0.721539 0.127588 0.127588 0.031116 3.612500 0.850000 0.443487 
86 3.217067 0.785173 0.741825 0.129749 0.129749 0.031346 3.698000 0.860000 -2.490336 
87 3.236390 0.784844 0.762234 0.131891 0.131891 0.031571 3.784500 0.870000 -4.535383 
88 3.424590 0.813542 0.782754 0.134011 0.134011 0.031790 3.872000 0.880000 17.268053 
89 3.485222 0.819947 0.803369 0.136107 0.136107 0.032003 3.960500 0.890000 0.864814 
90 3.668068 0.846774 0.824064 0.138180 0.138180 0.032210 4.050000 0.900000 15.745395 
91 3.691396 0.846508 0.844825 0.140226 0.140226 0.032412 4.140500 0.910000 -3.567780 
92 3.742943 0.850986 0.865636 0.142245 0.142245 0.032608 4.232000 0.920000 -0.105446 
93 3.732340 0.845333 0.886484 0.144236 0.144236 0.032798 4.324500 0.930000 -7.023539 
94 3.819559 0.855685 0.907352 0.146197 0.146197 0.032982 4.418000 0.940000 4.058270 
95 4.072528 0.892320 0.928225 0.148127 0.148127 0.033161 4.512500 0.950000 21.886281 
96 4.125659 0.896534 0.949089 0.150026 0.150026 0.033334 4.608000 0.960000 0.305790 
97 4.324559 0.923564 0.969929 0.151892 0.151892 0.033501 4.704500 0.970000 15.427650 
98 4.346967 0.922633 0.990730 0.153724 0.153724 0.033662 4.802000 0.980000 -2.693356 
99 4.426539 0.930605 1.011476 0.155521 0.155521 0.033818 4.900500 0.990000 3.135609 
100 4.810988 0.984931 1.032155 0.157282 0.157282 0.033968 5.000000 1.000000 32.702729 
101 4.836991 0.983907 1.052752 0.159007 0.159007 0.034112 5.100500 1.010000 -2.023353 
102 4.928961 0.992870 1.073251 0.160695 0.160695 0.034251 5.202000 1.020000 4.291109 
103 5.166991 1.023392 1.093641 0.162345 0.162345 0.034385 5.304500 1.030000 17.669360 
104 5.289410 1.036274 1.113907 0.163957 0.163957 0.034513 5.408000 1.040000 7.027592 
105 5.325521 1.036346 1.134037 0.165529 0.165529 0.034636 5.512500 1.050000 -0.604236 
106 5.459953 1.050732 1.154017 0.167062 0.167062 0.034753 5.618000 1.060000 8.055081 
107 5.593185 1.064703 1.173835 0.168556 0.168556 0.034866 5.724500 1.070000 7.921774 
108 5.707180 1.075704 1.193480 0.170009 0.170009 0.034973 5.832000 1.080000 6.288730 
109 5.712474 1.071179 1.212940 0.171421 0.171421 0.035076 5.940500 1.090000 -2.658003 
110 5.766272 1.073632 1.232203 0.172793 0.172793 0.035174 6.050000 1.100000 1.452305 
111 5.970269 1.097010 1.251260 0.174124 0.174124 0.035267 6.160500 1.110000 13.557059 
112 6.349945 1.144227 1.270099 0.175414 0.175414 0.035355 6.272000 1.120000 27.297333 
113 6.678194 1.183471 1.288712 0.176663 0.176663 0.035439 6.384500 1.130000 23.018325 
114 6.684156 1.178109 1.307089 0.177871 0.177871 0.035518 6.498000 1.140000 -1.839363 
115 6.732073 1.178599 1.325221 0.179039 0.179039 0.035593 6.612500 1.150000 1.490634 
116 6.916825 1.197505 1.343101 0.180165 0.180165 0.035664 6.728000 1.160000 11.793591 
117 7.000622 1.202649 1.360721 0.181251 0.181251 0.035731 6.844500 1.170000 4.358144 
118 7.185825 1.221173 1.378073 0.182297 0.182297 0.035794 6.962000 1.180000 11.797333 
119 7.325592 1.233427 1.395152 0.183303 0.183303 0.035854 7.080500 1.190000 8.537642 
120 7.424356 1.240154 1.411950 0.184269 0.184269 0.035909 7.200000 1.200000 5.673248 
121 7.631095 1.260814 1.428464 0.185197 0.185197 0.035961 7.320500 1.210000 13.304997 
122 7.261874 1.206951 1.444686 0.186085 0.186085 0.036010 7.442000 1.220000 -26.561385 
123 7.486959 1.230247 1.460614 0.186935 0.186935 0.036055 7.564500 1.230000 14.495836 
124 7.620330 1.241500 1.476243 0.187747 0.187747 0.036097 7.688000 1.240000 8.277452 
125 7.652893 1.239861 1.491570 0.188523 0.188523 0.036137 7.812500 1.250000 1.571186 
126 8.072271 1.286905 1.506592 0.189261 0.189261 0.036173 7.938000 1.260000 27.350804 
127 8.295695 1.308672 1.521305 0.189964 0.189964 0.036207 8.064500 1.270000 14.395716 
128 8.547511 1.333624 1.535709 0.190631 0.190631 0.036238 8.192000 1.280000 16.270258 
129 8.641482 1.338701 1.549802 0.191264 0.191264 0.036266 8.320500 1.290000 6.107453 
130 8.708275 1.340409 1.563582 0.191863 0.191863 0.036292 8.450000 1.300000 4.453862 
131 8.605762 1.321484 1.577050 0.192429 0.192429 0.036316 8.580500 1.310000 -6.188672 
132 8.904575 1.351647 1.590204 0.192963 0.192963 0.036337 8.712000 1.320000 19.187731 
133 8.840069 1.337489 1.603044 0.193465 0.193465 0.036357 8.844500 1.330000 -3.446712 
134 9.106372 1.363341 1.615572 0.193936 0.193936 0.036375 8.978000 1.340000 17.148188 
135 9.153568 1.362637 1.627789 0.194377 0.194377 0.036391 9.112500 1.350000 3.736458 
136 9.244428 1.367184 1.639695 0.194789 0.194789 0.036405 9.248000 1.360000 6.490763 
137 9.307381 1.368406 1.651292 0.195172 0.195172 0.036418 9.384500 1.370000 4.884230 
138 9.689228 1.407162 1.662583 0.195528 0.195528 0.036429 9.522000 1.380000 24.151145 
139 9.670861 1.398486 1.673569 0.195857 0.195857 0.036439 9.660500 1.390000 0.294948 
140 9.840897 1.411943 1.684252 0.196161 0.196161 0.036447 9.800000 1.400000 11.573857 
141 9.627605 1.380794 1.694637 0.196439 0.196439 0.036455 9.940500 1.410000 -10.965032 
142 9.456947 1.355114 1.704726 0.196693 0.196693 0.036461 10.082000 1.420000 -8.373797 
143 9.247003 1.325378 1.714521 0.196924 0.196924 0.036467 10.224500 1.430000 -10.584993 
144 9.544290 1.354159 1.724028 0.197133 0.197133 0.036471 10.368000 1.440000 18.907084 
145 9.653364 1.361104 1.733249 0.197320 0.197320 0.036475 10.512500 1.450000 8.131555 
146 9.660690 1.356448 1.742188 0.197485 0.197485 0.036478 10.658000 1.460000 2.369141 
147 9.696090 1.355077 1.750850 0.197631 0.197631 0.036480 10.804500 1.470000 4.042821 
148 9.718928 1.352355 1.759238 0.197758 0.197758 0.036482 10.952000 1.480000 3.399192 
149 9.878342 1.365006 1.767358 0.197866 0.197866 0.036484 11.100500 1.490000 11.194455 
150 10.028905 1.376518 1.775214 0.197957 0.197957 0.036485 11.250000 1.500000 10.779301 
151 10.283793 1.399485 1.782810 0.198031 0.198031 0.036486 11.400500 1.510000 16.714950 
152 10.482692 1.415953 1.790152 0.198089 0.198089 0.036486 11.552000 1.520000 13.689332 
153 10.522037 1.414626 1.797243 0.198131 0.198131 0.036486 11.704500 1.530000 4.907722 
154 10.510044 1.407715 1.804090 0.198159 0.198159 0.036486 11.858000 1.540000 2.130271 
155 10.696396 1.422649 1.810697 0.198174 0.198174 0.036486 12.012500 1.550000 13.140975 
156 10.863492 1.435303 1.817069 0.198175 0.198175 0.036486 12.168000 1.560000 12.178212 
157 11.107431 1.456162 1.823212 0.198163 0.198163 0.036486 12.324500 1.570000 16.487313 
158 11.008744 1.439644 1.829130 0.198140 0.198140 0.036487 12.482000 1.580000 -2.130028 
159 10.780805 1.409435 1.834828 0.198106 0.198106 0.036487 12.640500 1.590000 -9.143135 
160 10.964483 1.423981 1.840313 0.198061 0.198061 0.036487 12.800000 1.600000 13.217222 
161 11.429984 1.468592 1.845589 0.198007 0.198007 0.036488 12.960500 1.610000 28.587049 
162 11.610202 1.482106 1.850661 0.197943 0.197943 0.036489 13.122000 1.620000 13.352869 
163 12.097458 1.528208 1.855534 0.197871 0.197871 0.036490 13.284500 1.630000 30.004082 
164 12.449942 1.559385 1.860214 0.197791 0.197791 0.036491 13.448000 1.640000 22.957225 
165 12.519149 1.560136 1.864706 0.197704 0.197704 0.036493 13.612500 1.650000 7.928366 
166 12.765169 1.579599 1.869016 0.197609 0.197609 0.036495 13.778000 1.660000 17.464631 
167 13.014559 1.599187 1.873147 0.197508 0.197508 0.036497 13.944500 1.670000 17.778003 
168 13.127203 1.604163 1.877105 0.197402 0.197402 0.036500 14.112000 1.680000 10.629840 
169 13.297911 1.615190 1.880896 0.197290 0.197290 0.036503 14.280500 1.690000 13.808735 
170 13.545235 1.634115 1.884523 0.197173 0.197173 0.036507 14.450000 1.700000 17.986552 
171 13.474052 1.619578 1.887993 0.197052 0.197052 0.036511 14.620500 1.710000 1.257051 
172 13.592917 1.625039 1.891309 0.196927 0.196927 0.036516 14.792000 1.720000 11.331578 
173 13.936507 1.653799 1.894477 0.196798 0.196798 0.036521 14.964500 1.730000 23.288158 
174 14.034650 1.656778 1.897501 0.196666 0.196666 0.036527 15.138000 1.740000 10.532606 
175 14.158366 1.662387 1.900387 0.196532 0.196532 0.036533 15.312500 1.750000 11.966467 
176 14.334436 1.673350 1.903137 0.196395 0.196395 0.036540 15.488000 1.760000 14.815416 
177 14.645409 1.698090 1.905758 0.196256 0.196256 0.036547 15.664500 1.770000 22.013086 
178 14.779444 1.704362 1.908253 0.196116 0.196116 0.036555 15.842000 1.780000 12.914789 
179 15.023847 1.721898 1.910627 0.195974 0.195974 0.036564 16.020500 1.790000 18.795572 
180 15.357418 1.748368 1.912883 0.195831 0.195831 0.036573 16.200000 1.800000 23.606946 
181 15.277911 1.732327 1.915027 0.195688 0.195688 0.036582 16.380500 1.810000 2.225171 
182 15.571166 1.754518 1.917062 0.195544 0.195544 0.036593 16.562000 1.820000 21.686278 
183 15.747833 1.764591 1.918992 0.195400 0.195400 0.036603 16.744500 1.830000 15.784398 
184 15.961209 1.778293 1.920821 0.195257 0.195257 0.036615 16.928000 1.840000 17.820687 
185 16.018801 1.776040 1.922552 0.195113 0.195113 0.036626 17.112500 1.850000 9.859501 
186 16.089745 1.775182 1.924191 0.194971 0.194971 0.036639 17.298000 1.860000 10.627828 
187 16.455095 1.804134 1.925739 0.194829 0.194829 0.036652 17.484500 1.870000 25.995551 
188 16.708263 1.821433 1.927202 0.194689 0.194689 0.036665 17.672000 1.880000 20.385186 
189 16.865166 1.828837 1.928582 0.194549 0.194549 0.036679 17.860500 1.890000 15.556247 
190 17.175191 1.851594 1.929882 0.194411 0.194411 0.036694 18.050000 1.900000 23.610640 
191 17.530988 1.878711 1.931106 0.194275 0.194275 0.036709 18.240500 1.910000 26.171259 
192 17.687120 1.885471 1.932257 0.194141 0.194141 0.036725 18.432000 1.920000 16.050864 
193 18.256587 1.933646 1.933339 0.194009 0.194009 0.036741 18.624500 1.930000 37.553010 
194 18.437425 1.942341 1.934354 0.193878 0.193878 0.036758 18.818000 1.940000 17.777009 
195 18.569780 1.946096 1.935305 0.193751 0.193751 0.036775 19.012500 1.950000 15.408939 
196 18.971185 1.976726 1.936195 0.193625 0.193625 0.036793 19.208000 1.960000 29.419568 
197 19.262879 1.996068 1.937027 0.193502 0.193502 0.036811 19.404500 1.970000 23.997479 
198 19.657406 2.025470 1.937804 0.193382 0.193382 0.036829 19.602000 1.980000 29.495996 
199 19.685498 2.018028 1.938528 0.193264 0.193264 0.036849 19.800500 1.990000 10.835308 
200 19.816635 2.020940 1.939201 0.193149 0.193149 0.036868 20.000000 2.000000 16.217938 
201 19.810400 2.010158 1.939827 0.193038 0.193038 0.036888 20.200500 2.010000 9.253906 
202 19.837960 2.002863 1.940408 0.192929 0.192929 0.036908 20.402000 2.020000 11.046992 
203 20.092501 2.018203 1.940945 0.192823 0.192823 0.036929 20.604500 2.030000 22.808269 
204 20.790002 2.077358 1.941442 0.192720 0.192720 0.036951 20.808000 2.040000 45.800631 
205 21.000612 2.087593 1.941900 0.192621 0.192621 0.036972 21.012500 2.050000 21.120482 
206 21.419401 2.118362 1.942321 0.192524 0.192524 0.036994 21.218000 2.060000 31.997494 
207 21.800031 2.145032 1.942708 0.192431 0.192431 0.037017 21.424500 2.070000 30.294576 
208 21.893542 2.143006 1.943063 0.192342 0.192342 0.037039 21.632000 2.080000 15.762441 
209 21.982699 2.140576 1.943386 0.192255 0.192255 0.037062 21.840500 2.090000 15.643124 
210 22.184109 2.149276 1.943681 0.192172 0.192172 0.037086 22.050000 2.100000 21.520854 
211 22.349870 2.154368 1.943949 0.192093 0.192093 0.037109 22.260500 2.110000 19.844604 
212 22.684722 2.176113 1.944191 0.192016 0.192016 0.037133 22.472000 2.120000 28.682216 
213 23.260365 2.221407 1.944410 0.191943 0.191943 0.037158 22.684500 2.130000 41.290508 
214 23.361814 2.219449 1.944606 0.191874 0.191874 0.037182 22.898000 2.140000 17.250826 
215 23.452339 2.216438 1.944782 0.191808 0.191808 0.037207 23.112500 2.150000 16.800964 
216 23.672798 2.226272 1.944938 0.191745 0.191745 0.037232 23.328000 2.160000 23.587852 
217 23.871414 2.233856 1.945077 0.191686 0.191686 0.037257 23.544500 2.170000 22.635793 
218 23.511659 2.186359 1.945199 0.191630 0.191630 0.037283 23.762000 2.180000 -5.908876 
219 23.814370 2.204590 1.945306 0.191578 0.191578 0.037308 23.980500 2.190000 28.027073 
220 24.064851 2.217496 1.945399 0.191529 0.191529 0.037334 24.200000 2.200000 25.552820 
221 23.960119 2.195313 1.945480 0.191483 0.191483 0.037360 24.420500 2.210000 7.479875 
222 23.785691 2.166499 1.945548 0.191441 0.191441 0.037387 24.642000 2.220000 3.905178 
223 24.008644 2.177069 1.945606 0.191402 0.191402 0.037413 24.864500 2.230000 24.301100 
224 24.383578 2.202484 1.945655 0.191366 0.191366 0.037440 25.088000 2.240000 32.282099 
225 24.621619 2.214185 1.945695 0.191333 0.191333 0.037466 25.312500 2.250000 25.493062 
226 24.915658 2.231276 1.945727 0.191304 0.191304 0.037493 25.538000 2.260000 28.550179 
227 25.185756 2.245844 1.945753 0.191277 0.191277 0.037520 25.764500 2.270000 27.527551 
228 25.156456 2.230840 1.945773 0.191254 0.191254 0.037547 25.992000 2.280000 12.337171 
229 25.412663 2.244046 1.945788 0.191234 0.191234 0.037574 26.220500 2.290000 27.056623 
230 26.019178 2.291548 1.945799 0.191217 0.191217 0.037601 26.450000 2.300000 45.249574 
231 26.134042 2.290268 1.945806 0.191203 0.191203 0.037628 26.680500 2.310000 20.349467 
232 26.473486 2.311068 1.945811 0.191191 0.191191 0.037655 26.912000 2.320000 32.012466 
233 26.920628 2.342245 1.945814 0.191183 0.191183 0.037683 27.144500 2.330000 37.781954 
234 27.082122 2.345050 1.945815 0.191177 0.191177 0.037710 27.378000 2.340000 23.391855 
235 27.413154 2.364485 1.945815 0.191175 0.191175 0.037737 27.612500 2.350000 32.252176 
236 27.198490 2.330114 1.945815 0.191175 0.191175 0.037764 27.848000 2.360000 4.440707 
237 27.192412 2.316575 1.945815 0.191177 0.191177 0.037792 28.084500 2.370000 15.118926 
238 27.438419 2.327935 1.945816 0.191183 0.191183 0.037819 28.322000 2.380000 28.136346 
239 27.394272 2.310675 1.945819 0.191190 0.191190 0.037846 28.560500 2.390000 13.413379 
240 27.849657 2.342668 1.945822 0.191201 0.191201 0.037873 28.800000 2.400000 39.128305 
241 28.032300 2.347546 1.945829 0.191214 0.191214 0.037900 29.040500 2.410000 25.405712 
242 28.390211 2.369600 1.945837 0.191229 0.191229 0.037927 29.282000 2.420000 34.571062 
243 28.698856 2.386596 1.945848 0.191246 0.191246 0.037954 29.524500 2.430000 32.285991 
244 28.759272 2.379027 1.945863 0.191266 0.191266 0.037981 29.768000 2.440000 19.752182 
245 29.147052 2.403711 1.945881 0.191288 0.191288 0.038008 30.012500 2.450000 36.674257 
246 29.690659 2.443475 1.945903 0.191312 0.191312 0.038035 30.258000 2.460000 44.945511 
247 30.026825 2.462454 1.945929 0.191339 0.191339 0.038062 30.504500 2.470000 34.628349 
248 29.880301 2.433780 1.945959 0.191367 0.191367 0.038088 30.752000 2.480000 10.064035 
249 30.381948 2.469132 1.945994 0.191397 0.191397 0.038114 31.000500 2.490000 43.370286 
250 30.371602 2.453777 1.946034 0.191429 0.191429 0.038141 31.250000 2.500000 17.384031 
251 30.703292 2.472219 1.946078 0.191464 0.191464 0.038167 31.500500 2.510000 35.026961 
252 30.980272 2.485098 1.946128 0.191499 0.191499 0.038193 31.752000 2.520000 32.454402 
253 31.308838 2.502928 1.946182 0.191537 0.191537 0.038219 32.004500 2.530000 35.317110 
254 31.754908 2.532150 1.946242 0.191576 0.191576 0.038244 32.258000 2.540000 41.593158 
255 31.983044 2.539632 1.946308 0.191617 0.191617 0.038270 32.512500 2.550000 30.694403 
256 32.326542 2.558399 1.946379 0.191660 0.191660 0.038295 32.768000 2.560000 36.811893 
257 32.757484 2.585595 1.946456 0.191704 0.191704 0.038321 33.024500 2.570000 41.553129 
258 32.902205 2.584332 1.946539 0.191749 0.191749 0.038346 33.282000 2.580000 27.142621 
259 33.176548 2.595850 1.946627 0.191796 0.191796 0.038370 33.540500 2.590000 33.952734 
260 33.345873 2.596906 1.946722 0.191844 0.191844 0.038395 33.800000 2.600000 28.774456 
261 33.366407 2.583284 1.946822 0.191894 0.191894 0.038419 34.060500 2.610000 21.295901 
262 33.631177 2.593869 1.946928 0.191945 0.191945 0.038444 34.322000 2.620000 33.930431 
263 34.106261 2.625090 1.947040 0.191997 0.191997 0.038468 34.584500 2.630000 44.943570 
264 34.611998 2.659030 1.947158 0.192050 0.192050 0.038492 34.848000 2.640000 46.835011 
265 34.869925 2.668194 1.947281 0.192104 0.192104 0.038515 35.112500 2.650000 34.443172 
266 35.047845 2.669373 1.947411 0.192159 0.192159 0.038539 35.378000 2.660000 30.546535 
267 35.451698 2.692836 1.947546 0.192215 0.192215 0.038562 35.644500 2.670000 42.319778 
268 35.519385 2.682886 1.947688 0.192272 0.192272 0.038585 35.912000 2.680000 25.345233 
269 35.695857 2.683770 1.947835 0.192330 0.192330 0.038608 36.180500 2.690000 31.048728 
270 35.893126 2.686698 1.947987 0.192388 0.192388 0.038630 36.450000 2.700000 32.288754 
271 36.257661 2.706119 1.948145 0.192448 0.192448 0.038652 36.720500 2.710000 41.057450 
272 36.526782 2.715922 1.948309 0.192508 0.192508 0.038674 36.992000 2.720000 36.426600 
273 37.057787 2.751511 1.948478 0.192568 0.192568 0.038696 37.264500 2.730000 50.086827 
274 37.124199 2.740827 1.948653 0.192630 0.192630 0.038718 37.538000 2.740000 26.595820 
275 37.485234 2.759375 1.948832 0.192692 0.192692 0.038739 37.812500 2.750000 41.834881 
276 38.027397 2.795655 1.949017 0.192754 0.192754 0.038760 38.088000 2.760000 51.395499 
277 38.159458 2.791014 1.949207 0.192817 0.192817 0.038781 38.364500 2.770000 30.714398 
278 38.562951 2.813272 1.949402 0.192880 0.192880 0.038802 38.642000 2.780000 44.794409 
279 38.931859 2.831890 1.949602 0.192944 0.192944 0.038822 38.920500 2.790000 43.311406 
280 39.174214 2.837798 1.949807 0.193008 0.193008 0.038842 39.200000 2.800000 37.095600 
281 39.164734 2.818713 1.950016 0.193072 0.193072 0.038862 39.480500 2.810000 24.394031 
282 39.633919 2.847214 1.950230 0.193137 0.193137 0.038881 39.762000 2.820000 49.026164 
283 40.030688 2.868263 1.950448 0.193202 0.193202 0.038901 40.044500 2.830000 45.638214 
284 40.307649 2.877236 1.950670 0.193267 0.193267 0.038920 40.328000 2.840000 39.786654 
285 40.553120 2.882999 1.950896 0.193332 0.193332 0.038939 40.612500 2.850000 38.404429 
286 40.925302 2.901264 1.951126 0.193398 0.193398 0.038957 40.898000 2.860000 45.115433 
287 40.826979 2.872703 1.951361 0.193463 0.193463 0.038975 41.184500 2.870000 21.283737 
288 41.169095 2.888092 1.951599 0.193528 0.193528 0.038993 41.472000 2.880000 43.899450 
